gene_key,symbol,entrez_id,ensembl_gene_id,alias_symbol,prev_symbol,status,replacement_gene_keys
9606|hgnc|HGNC:69,ABCE1,6059,ENSG00000164163,RLI;OABP;RLI1,RNASEL1;RNASELI;RNS4I,approved,
9606|hgnc|HGNC:70,ABCF1,23,ENSG00000204574,EST123147,ABC50,approved,
9606|hgnc|HGNC:53628,ABCF1-DT,107986587,,,,approved,
9606|hgnc|HGNC:71,ABCF2,10061,ENSG00000033050,EST133090;ABC28;M-ABC1;HUSSY-18,,approved,
9606|hgnc|HGNC:54751,ABCF2-H2BK1,114483834,ENSG00000285292,,ABCF2-H2BE1,approved,
9606|hgnc|HGNC:48841,ABCF2P1,344653,ENSG00000242159,,,approved,
9606|hgnc|HGNC:48842,ABCF2P2,100422059,ENSG00000228769,,,approved,
9606|hgnc|HGNC:72,ABCF3,55324,ENSG00000161204,EST201864,,approved,
9606|hgnc|HGNC:73,ABCG1,9619,ENSG00000160179,ABC8,,approved,
9606|hgnc|HGNC:74,ABCG2,9429,ENSG00000118777,EST157481;MXR;BCRP;ABCP;CD338,,approved,
9606|hgnc|HGNC:13884,ABCG4,64137,ENSG00000172350,WHITE2,,approved,
9606|hgnc|HGNC:13886,ABCG5,64240,ENSG00000138075,STSL,,approved,
9606|hgnc|HGNC:13887,ABCG8,64241,ENSG00000143921,GBD4,,approved,
9606|hgnc|HGNC:17553,ABHD1,84696,ENSG00000143994,LABH1;FLJ36128,,approved,
9606|hgnc|HGNC:18717,ABHD2,11057,ENSG00000140526,LABH2,,approved,
9606|hgnc|HGNC:18718,ABHD3,171586,ENSG00000158201,LABH3,,approved,
9606|hgnc|HGNC:20154,ABHD4,63874,ENSG00000100439,FLJ12816,,approved,
9606|hgnc|HGNC:21396,ABHD5,51099,ENSG00000011198,CGI-58;NCIE2,,approved,
9606|hgnc|HGNC:21398,ABHD6,57406,ENSG00000163686,,,approved,
9606|hgnc|HGNC:23759,ABHD8,79575,ENSG00000127220,FLJ11743;MGC14280;MGC2512,,approved,
9606|hgnc|HGNC:25656,ABHD10,55347,ENSG00000144827,FLJ11342,,approved,
9606|hgnc|HGNC:16407,ABHD11,83451,ENSG00000106077,PP1226,WBSCR21,approved,
9606|hgnc|HGNC:15868,ABHD12,26090,ENSG00000100997,DKFZP434P106;dJ965G21.2;BEM46L2;ABHD12A,C20orf22,approved,
9606|hgnc|HGNC:19837,ABHD12B,145447,ENSG00000131969,BEM46L3,C14orf29,approved,
9606|hgnc|HGNC:20293,ABHD13,84945,ENSG00000139826,bA153I24.2;FLJ14906;BEM46L1,C13orf6,approved,
9606|hgnc|HGNC:24538,ABHD14A,25864,ENSG00000248487,DKFZP564O243;DORZ1,,approved,
9606|hgnc|HGNC:38856,ABHD14A-ACY1,100526760,ENSG00000114786,,,approved,
9606|hgnc|HGNC:28235,ABHD14B,84836,ENSG00000114779,MGC15429;CIB,,approved,
9606|hgnc|HGNC:26971,ABHD15,116236,ENSG00000168792,,,approved,
9606|hgnc|HGNC:49685,ABHD15-AS1,104355133,ENSG00000264031,linc-TP53I13;lnc-TP53I13,,approved,
9606|hgnc|HGNC:13921,ABHD16A,7920,ENSG00000204427,NG26;D6S82E,BAT5,approved,
9606|hgnc|HGNC:16128,ABHD16B,140701,ENSG00000183260,dJ591C20.1,C20orf135,approved,
9606|hgnc|HGNC:28756,ABHD17A,81926,ENSG00000129968,MGC5244,C19orf27;FAM108A1,approved,
9606|hgnc|HGNC:28394,ABHD17AP1,728917,ENSG00000198658,C1orf47,FAM108A2;ABHD17AP2;FAM108A3;FAM108A11P;FAM108A3P,approved,
9606|hgnc|HGNC:34041,ABHD17AP3,648359,ENSG00000250536,,FAM108A4;FAM108A4P,approved,
9606|hgnc|HGNC:34042,ABHD17AP4,729495,ENSG00000229107,,FAM108A5;FAM108A5P,approved,
9606|hgnc|HGNC:34043,ABHD17AP5,91219,ENSG00000263366,,FAM108A6;FAM108A6P,approved,
9606|hgnc|HGNC:34044,ABHD17AP6,644988,ENSG00000226981,,FAM108A7P,approved,
9606|hgnc|HGNC:38508,ABHD17AP7,100133212,ENSG00000260864,,FAM108A8P,approved,
9606|hgnc|HGNC:38509,ABHD17AP8,647144,ENSG00000260540,,FAM108A9P,approved,
9606|hgnc|HGNC:38510,ABHD17AP9,100132251,ENSG00000261536,,FAM108A10P,approved,
9606|hgnc|HGNC:24278,ABHD17B,51104,ENSG00000107362,CGI-67,C9orf77;FAM108B1,approved,
9606|hgnc|HGNC:26925,ABHD17C,58489,ENSG00000136379,,FAM108C1,approved,
9606|hgnc|HGNC:26111,ABHD18,80167,ENSG00000164074,FLJ21106,C4orf29,approved,
9606|hgnc|HGNC:11320,ABI1,10006,ENSG00000136754,E3B1;ABI-1,SSH3BP1,approved,
9606|hgnc|HGNC:20035,ABI1P1,326268,ENSG00000271484,,SSH3BP1P;ABI1P,approved,
9606|hgnc|HGNC:24011,ABI2,10152,ENSG00000138443,ABI-2;AIP-1;ABI2B;AblBP3;argBPIA;SSH3BP2,,approved,
9606|hgnc|HGNC:29859,ABI3,51225,ENSG00000108798,NESH;SSH3BP3,,approved,
9606|hgnc|HGNC:17265,ABI3BP,25890,ENSG00000154175,NESHBP;DKFZP586L2024;TARSH,,approved,
9606|hgnc|HGNC:1364,ABITRAM,54942,ENSG00000119328,CG-8;FLJ20457;Simiate,C9orf6;FAM206A,approved,
9606|hgnc|HGNC:39851,ABITRAMP1,390403,ENSG00000251106,,FAM206BP,approved,
9606|hgnc|HGNC:76,ABL1,25,ENSG00000097007,JTK7;c-ABL;p150,ABL,approved,
9606|hgnc|HGNC:77,ABL2,27,ENSG00000143322,ARG,ABLL,approved,
9606|hgnc|HGNC:78,ABLIM1,3983,ENSG00000099204,abLIM;limatin,LIMAB1;ABLIM,approved,
9606|hgnc|HGNC:19195,ABLIM2,84448,ENSG00000163995,KIAA1808,,approved,
9606|hgnc|HGNC:29132,ABLIM3,22885,ENSG00000173210,KIAA0843,,approved,
9606|hgnc|HGNC:79,ABO,28,ENSG00000175164,A3GALNT;A3GALT1,,approved,
9606|hgnc|HGNC:81,ABR,29,ENSG00000159842,MDB,,approved,
9606|hgnc|HGNC:55674,ABR-AS1,105371479,ENSG00000235361,,,approved,
9606|hgnc|HGNC:30655,ABRA,137735,ENSG00000174429,STARS,,approved,
9606|hgnc|HGNC:21230,ABRACL,58527,ENSG00000146386,PRO2013;HSPC280;Costars,C6orf115,approved,
9606|hgnc|HGNC:25829,ABRAXAS1,84142,ENSG00000163322,FLJ13614;ABRA1;ABRAXAS,CCDC98;FAM175A,approved,
9606|hgnc|HGNC:56461,ABRAXAS1P1,100421580,ENSG00000213431,,,approved,
9606|hgnc|HGNC:56462,ABRAXAS1P2,100133073,ENSG00000253384,,,approved,
9606|hgnc|HGNC:28975,ABRAXAS2,23172,ENSG00000165660,Em:AC068896.4;ABRO1,KIAA0157;FAM175B,approved,
9606|hgnc|HGNC:17369,ABT1,29777,ENSG00000146109,Esf2,,approved,
9606|hgnc|HGNC:39557,ABT1P1,100420695,ENSG00000250496,,,approved,
9606|hgnc|HGNC:18275,ABTB1,80325,ENSG00000114626,BPOZ;EF1ABP;Btb3;BTBD21;BPOZ-2,,approved,
9606|hgnc|HGNC:23842,ABTB2,25841,ENSG00000166016,DKFZP586C1619;BTBD22;ABTB2A,,approved,
9606|hgnc|HGNC:23844,ABTB3,121551,ENSG00000151136,FLJ33957;ABTB2B,BTBD11,approved,
9606|hgnc|HGNC:82,ACAA1,30,ENSG00000060971,Lnc-Myd88,,approved,
9606|hgnc|HGNC:83,ACAA2,10449,ENSG00000167315,DSAEC,,approved,
9606|hgnc|HGNC:55880,ACAA2P1,100420869,ENSG00000233585,,,approved,
9606|hgnc|HGNC:84,ACACA,31,ENSG00000278540,ACC1;ACC-alpha;ACCA;ACCalpha;ACACalpha;Acac1;hACC1,ACAC;ACC,approved,
9606|hgnc|HGNC:85,ACACB,32,ENSG00000076555,HACC275;ACC2;ACCB;ACC-beta;ACCbeta;ACACbeta,,approved,
9606|hgnc|HGNC:87,ACAD8,27034,ENSG00000151498,,,approved,
9606|hgnc|HGNC:21497,ACAD9,28976,ENSG00000177646,NPD002;MGC14452,,approved,
9606|hgnc|HGNC:56086,ACAD9-DT,123706524,ENSG00000287110,,,approved,
9606|hgnc|HGNC:21597,ACAD10,80724,ENSG00000111271,MGC5601,,approved,
9606|hgnc|HGNC:30211,ACAD11,84129,ENSG00000240303,FLJ12592,,approved,
9606|hgnc|HGNC:88,ACADL,33,ENSG00000115361,LCAD;ACAD4,,approved,
9606|hgnc|HGNC:89,ACADM,34,ENSG00000117054,MCAD;MCADH;ACAD1,,approved,
9606|hgnc|HGNC:90,ACADS,35,ENSG00000122971,SCAD;ACAD3,,approved,
9606|hgnc|HGNC:91,ACADSB,36,ENSG00000196177,SBCAD;ACAD7,,approved,
9606|hgnc|HGNC:92,ACADVL,37,ENSG00000072778,VLCAD;LCACD;ACAD6,,approved,
9606|hgnc|HGNC:319,ACAN,176,ENSG00000157766,CSPGCP,MSK16;CSPG1;AGC1,approved,
9606|hgnc|HGNC:16467,ACAP1,9744,ENSG00000072818,KIAA0050,CENTB1,approved,
9606|hgnc|HGNC:16469,ACAP2,23527,ENSG00000114331,KIAA0041;CNT-B2,CENTB2,approved,
9606|hgnc|HGNC:41426,ACAP2-IT1,100874306,ENSG00000229325,,,approved,
9606|hgnc|HGNC:16754,ACAP3,116983,ENSG00000131584,KIAA1716,CENTB5,approved,
9606|hgnc|HGNC:93,ACAT1,38,ENSG00000075239,THIL,ACAT,approved,
9606|hgnc|HGNC:94,ACAT2,39,ENSG00000120437,,,approved,
9606|hgnc|HGNC:15453,ACBD3,64746,ENSG00000182827,GCP60;PAP7,GOLPH1;GOCAP1,approved,
9606|hgnc|HGNC:40701,ACBD3-AS1,107985353,ENSG00000234478,RP11-275I14.4,,approved,
9606|hgnc|HGNC:23337,ACBD4,79777,ENSG00000181513,FLJ13322,,approved,
9606|hgnc|HGNC:23338,ACBD5,91452,ENSG00000107897,DKFZp434A2417;KIAA1996,,approved,
9606|hgnc|HGNC:23339,ACBD6,84320,ENSG00000230124,MGC2404,,approved,
9606|hgnc|HGNC:17715,ACBD7,414149,ENSG00000176244,FLJ38219;bA455B2.2,,approved,
9606|hgnc|HGNC:23989,ACCS,84680,ENSG00000110455,PHACS;ACS,,approved,
9606|hgnc|HGNC:34391,ACCSL,390110,ENSG00000205126,,,approved,
9606|hgnc|HGNC:56899,ACCSLP1,100422646,ENSG00000230570,,,approved,
9606|hgnc|HGNC:25070,ACD,65057,ENSG00000102977,Ptop;Pip1;Tpp1;Tint1,,approved,
9606|hgnc|HGNC:2707,ACE,1636,ENSG00000159640,ACE1;CD143,DCP1,approved,
9606|hgnc|HGNC:13557,ACE2,59272,ENSG00000130234,ACEH,,approved,
9606|hgnc|HGNC:56255,ACE2-DT,104798195,ENSG00000225833,GS1-594A7.3,,approved,
9606|hgnc|HGNC:44365,ACE3P,100129123,ENSG00000224353,,,approved,
9606|hgnc|HGNC:18356,ACER1,125981,ENSG00000167769,,ASAH3,approved,
9606|hgnc|HGNC:23675,ACER2,340485,ENSG00000177076,FLJ41587;ALKCDase2,ASAH3L,approved,
9606|hgnc|HGNC:54674,ACER2P1,645978,ENSG00000180105,,,approved,
9606|hgnc|HGNC:16066,ACER3,55331,ENSG00000078124,FLJ11238;APHC,PHCA,approved,
9606|hgnc|HGNC:58067,ACER3-AS1,124902721,ENSG00000254988,,,approved,
9606|hgnc|HGNC:108,ACHE,43,ENSG00000087085,,YT,approved,
9606|hgnc|HGNC:17066,ACIN1,22985,ENSG00000100813,KIAA0670;fSAP152,ACINUS,approved,
9606|hgnc|HGNC:4035,ACKR1,2532,ENSG00000213088,CCBP1;GPD;Dfy;CD234,FY;DARC,approved,
9606|hgnc|HGNC:1565,ACKR2,1238,ENSG00000144648,CCR10;D6;CCR9,CMKBR9;CCBP2,approved,
9606|hgnc|HGNC:23692,ACKR3,57007,ENSG00000144476,RDC1;GPR159,CMKOR1;CXCR7,approved,
9606|hgnc|HGNC:1611,ACKR4,51554,ENSG00000129048,CCR11;CCBP2;VSHK1;CCX-CKR;PPR1,CCRL1,approved,
9606|hgnc|HGNC:21142,ACKR4P1,285737,ENSG00000225415,dJ509I19.4,CCRL1P;CCRL1P1,approved,
9606|hgnc|HGNC:115,ACLY,47,ENSG00000131473,ATPCL;CLATP;ACL,,approved,
9606|hgnc|HGNC:19288,ACMSD,130013,ENSG00000153086,,,approved,
9606|hgnc|HGNC:34504,ACNATP,347275,ENSG00000227411,,BAATP1,approved,
9606|hgnc|HGNC:117,ACO1,48,ENSG00000122729,IRP1;IREBP,IREB1,approved,
9606|hgnc|HGNC:118,ACO2,50,ENSG00000100412,ACONM,,approved,
9606|hgnc|HGNC:56989,ACO2P1,441996,ENSG00000235485,,,approved,
9606|hgnc|HGNC:56990,ACO2P2,343508,ENSG00000235371,,,approved,
9606|hgnc|HGNC:33904,ACOD1,730249,ENSG00000102794,CAD,IRG1,approved,
9606|hgnc|HGNC:33128,ACOT1,641371,ENSG00000184227,ACH2;CTE-1;LACH2,,approved,
9606|hgnc|HGNC:18431,ACOT2,10965,ENSG00000119673,Mte1;ZAP128,,approved,
9606|hgnc|HGNC:19748,ACOT4,122970,ENSG00000177465,FLJ31235;PTE-Ib;PTE2B,,approved,
9606|hgnc|HGNC:33159,ACOT6,641372,ENSG00000205669,,C14orf42,approved,
9606|hgnc|HGNC:24157,ACOT7,11332,ENSG00000097021,BACH;ACH1;ACT;CTE-II;LACH1;MGC1126;hBACH,,approved,
9606|hgnc|HGNC:15919,ACOT8,10005,ENSG00000101473,hACTE-III;hTE;PTE-2;NAP1,PTE1,approved,
9606|hgnc|HGNC:17152,ACOT9,23597,ENSG00000123130,CGI-16;MT-ACT48;ACATE2,,approved,
9606|hgnc|HGNC:18156,ACOT11,26027,ENSG00000162390,STARD14;BFIT;KIAA0707;BFIT1;THEM1,THEA,approved,
9606|hgnc|HGNC:24436,ACOT12,134526,ENSG00000172497,Cach;THEAL;STARD15,,approved,
9606|hgnc|HGNC:20999,ACOT13,55856,ENSG00000112304,HT012,THEM2,approved,
9606|hgnc|HGNC:119,ACOX1,51,ENSG00000161533,PALMCOX,,approved,
9606|hgnc|HGNC:120,ACOX2,8309,ENSG00000168306,BRCACOX;BRCOX;THCCox,,approved,
9606|hgnc|HGNC:121,ACOX3,8310,ENSG00000087008,,,approved,
9606|hgnc|HGNC:25621,ACOXL,55289,ENSG00000153093,FLJ11042;ACOX4,,approved,
9606|hgnc|HGNC:41112,ACOXL-AS1,400997,ENSG00000204581,,,approved,
9606|hgnc|HGNC:122,ACP1,52,ENSG00000143727,HAAP;LMW-PTP;LMWPTP,,approved,
9606|hgnc|HGNC:123,ACP2,53,ENSG00000134575,LAP,,approved,
9606|hgnc|HGNC:125,ACP3,55,ENSG00000014257,ACP-3;PAP;TM-PAP,ACPP,approved,
9606|hgnc|HGNC:14376,ACP4,93650,ENSG00000142513,,ACPT,approved,
9606|hgnc|HGNC:124,ACP5,54,ENSG00000102575,TRAP;HPAP;TRAcP,,approved,
9606|hgnc|HGNC:29609,ACP6,51205,ENSG00000162836,LPAP;ACPL1,,approved,
9606|hgnc|HGNC:33781,ACP7,390928,ENSG00000183760,FLJ16165;PAPL1;PAPL,,approved,
9606|hgnc|HGNC:126,ACR,49,ENSG00000100312,,,approved,
9606|hgnc|HGNC:17195,ACRBP,84519,ENSG00000111644,SP32;OY-TES-1;CT23,,approved,
9606|hgnc|HGNC:54745,ACRP1,645529,ENSG00000175509,,,approved,
9606|hgnc|HGNC:127,ACRV1,56,ENSG00000134940,SPACA2;SP-10;D11S4365,,approved,
9606|hgnc|HGNC:29567,ACSBG1,23205,ENSG00000103740,BGM;FLJ30320;MGC14352;BG1;KIAA0631;hBG1;hsBG,,approved,
9606|hgnc|HGNC:24174,ACSBG2,81616,ENSG00000130377,BGR;PRTD-NY3;DKFZp434K1635,,approved,
9606|hgnc|HGNC:26101,ACSF2,80221,ENSG00000167107,FLJ20920;ACSMW,,approved,
9606|hgnc|HGNC:27288,ACSF3,197322,ENSG00000176715,,,approved,
9606|hgnc|HGNC:3569,ACSL1,2180,ENSG00000151726,LACS2;LACS;ACS1;LACS1;FACL1,FACL2,approved,
9606|hgnc|HGNC:3570,ACSL3,2181,ENSG00000123983,ACS3;PRO2194,FACL3,approved,
9606|hgnc|HGNC:40227,ACSL3-AS1,105373904,ENSG00000234193,,,approved,
9606|hgnc|HGNC:56529,ACSL3P1,100421637,ENSG00000244062,,,approved,
9606|hgnc|HGNC:3571,ACSL4,2182,ENSG00000068366,ACS4;LACS4,FACL4;MRX63;MRX68,approved,
9606|hgnc|HGNC:16526,ACSL5,51703,ENSG00000197142,ACS5;ACS2,FACL5,approved,
9606|hgnc|HGNC:16496,ACSL6,23305,ENSG00000164398,KIAA0837;ACS2;LACS5;LACS2,FACL6,approved,
